ccode,Name,aName,startDate,endDate,Capital
2,United States of America,,,,Washington D.C.
20,Canada,,1800,1841,Ottawa
20,Canada,,1841,1843,Kingston
20,Canada,,1843,1849,Montreal
20,Canada,,1849,1859,Toronto
20,Canada,,1859,1865,Quebec City
20,Canada,,1865,,Ottawa
31,Bahamas,,,,Nassau
40,Cuba,,,,Havana
41,Haiti,,,,Port-au-Prince
42,Dominican Republic,,,,Santo Domingo
51,Jamaica,,,,Kingston
52,Trinidad & Tobago,,,,Port-of-Spain
53,Barbados,,,,Bridgetown
54,Dominica,,,,Roseau
55,Grenada,,,,St. George's
56,Saint Lucia,,,,Castries
57,Saint Vincent & Grenadines,,,,Kingstown
58,Antigua & Barbuda,,,,St. John's
60,Saint Kitts & Nevis,,,,Basseterre
70,Mexico,,,,Mexico City
80,Belize,,,1970,Belize City
80,Belize,,1970,,Belmopan
90,Guatemala,,,,Guatemala City
91,Honduras,,,,Tegucigalpa
92,El Salvador,,,,San Salvador
93,Nicaragua,,,,Managua
94,Costa Rica,,,,San Jose
95,Panama,,,,Panama City
100,Colombia,,,,Bogota
101,Venezuela,,,,Caracas
110,Guyana,,,,Georgetown
115,Suriname,,,,Paramaribo
130,Ecuador,,,,Quito
135,Peru,,,,Lima
140,Brazil,,,1960,Rio de Janeiro
140,Brazil,,1960,,Brasilia
145,Bolivia,,,,Sucre
150,Paraguay,,,,Asuncion
155,Chile,,,,Santiago
160,Argentina,,,,Buenos Aires
165,Uruguay,,,,Montevideo
200,United Kingdom,,,,London
205,Ireland,,,,Dublin
210,Netherlands,,,,Amsterdam
211,Belgium,,,,Brussels
212,Luxembourg,,,,Luxembourg City
220,France,,,1940,Paris
220,France,,1940,1942,Vichy
220,France,,1942,,Paris
221,Monaco,,,,Monaco
223,Liechtenstein,,,,Vaduz
225,Switzerland,,,,Bern
230,Spain,,1936,1939,Valencia
230,Spain,,,,Madrid
232,Andorra,,,,Andorra la Vella
235,Portugal,,1808,1821,Rio de Janeiro
235,Portugal,,,,Lisbon
240,Hanover,,,,Hannover
245,Bavaria,,,,Munich
