ccode,Name,aName,startDate,endDate,Capital,lat,lng
2,United States of America,NA,1800,2016,Washington D.C.,38.9071923,-77.0368707
20,Canada,NA,1800,1841,Ottawa,45.4215296,-75.69719309999999
20,Canada,NA,1841,1843,Kingston,44.2311717,-76.4859544
20,Canada,NA,1843,1849,Montreal,45.5016889,-73.567256
20,Canada,NA,1849,1859,Toronto,43.653226,-79.3831843
20,Canada,NA,1859,1865,Quebec City,46.8138783,-71.2079809
20,Canada,NA,1865,2016,Ottawa,45.4215296,-75.69719309999999
31,Bahamas,NA,1800,2016,Nassau,25.0479835,-77.355413
40,Cuba,NA,1800,2016,Havana,23.1135925,-82.3665956
41,Haiti,NA,1800,2016,Port-au-Prince,18.594395,-72.3074326
42,Dominican Republic,NA,1800,2016,Santo Domingo,18.4860575,-69.93121169999999
51,Jamaica,NA,1800,2016,Kingston,18.0178743,-76.8099041
52,Trinidad & Tobago,NA,1800,2016,Port-of-Spain,10.6549013,-61.50192559999999
53,Barbados,NA,1800,2016,Bridgetown,13.0968511,-59.61448189999999
54,Dominica,NA,1800,2016,Roseau,15.3091676,-61.37935539999999
55,Grenada,NA,1800,2016,St. George's,12.0560975,-61.7487996
56,Saint Lucia,NA,1800,2016,Castries,14.0101094,-60.98746869999999
57,Saint Vincent & Grenadines,NA,1800,2016,Kingstown,13.1600249,-61.2248157
58,Antigua & Barbuda,NA,1800,2016,St. John's,17.1274104,-61.84677199999999
60,Saint Kitts & Nevis,NA,1800,2016,Basseterre,17.3026058,-62.7176924
70,Mexico,NA,1800,2016,Mexico City,19.4326077,-99.133208
80,Belize,NA,1800,1970,Belize City,17.5045661,-88.1962133
80,Belize,NA,1970,2016,Belmopan,17.2510114,-88.7590201
90,Guatemala,NA,1800,2016,Guatemala City,14.6349149,-90.5068824
91,Honduras,NA,1800,2016,Tegucigalpa,14.0722751,-87.19213599999999
92,El Salvador,NA,1800,2016,San Salvador,13.6929403,-89.2181911
93,Nicaragua,NA,1800,2016,Managua,12.1149926,-86.2361744
94,Costa Rica,NA,1800,2016,San Jose,9.9280694,-84.0907246
95,Panama,NA,1800,2016,Panama City,8.9823792,-79.51986959999999
100,Colombia,NA,1800,2016,Bogota,4.710988599999999,-74.072092
101,Venezuela,NA,1800,2016,Caracas,10.4805937,-66.90360629999999
110,Guyana,NA,1800,2016,Georgetown,6.8012793,-58.1551255
115,Suriname,NA,1800,2016,Paramaribo,5.8520355,-55.2038278
130,Ecuador,NA,1800,2016,Quito,-0.1806532,-78.4678382
135,Peru,NA,1800,2016,Lima,-12.0463731,-77.042754
